City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Muros,100,ES,1607548926,94,42.78,-9.06,60.01,5.01
Ambulu,85,ID,1607548926,82,-8.35,113.61,77.58,2.77
Ouésso,98,CG,1607548926,64,1.61,16.05,76.96,2.95
Mumford,96,GH,1607548926,84,5.26,-0.76,80.22,8.05
College,90,US,1607548927,77,64.86,-147.8,10.99,4.7
Hurricane,1,US,1607548927,12,37.18,-113.29,62.6,4.7
Evensk,100,RU,1607548927,95,61.95,159.23,13.91,15.88
Mehamn,75,NO,1607548927,80,71.04,27.85,35.6,10.29
Whitehorse,20,CA,1607548927,79,60.72,-135.05,21.2,14.99
Teya,92,RU,1607548927,83,60.38,92.63,-22.61,4.03
Omboué,100,GA,1607548927,90,-1.57,9.26,77.34,6.71
Marawi,22,PH,1607548927,94,8.0,124.29,73.0,5.01
Tyup,60,KG,1607548927,87,42.73,78.36,23.29,3.15
Nabire,98,ID,1607548928,85,-3.37,135.48,76.96,3.47
Zhangaözen,0,KZ,1607548872,95,43.3,52.8,21.07,8.41
Touros,20,BR,1607548928,74,-5.2,-35.46,80.6,10.29
Lagoa,100,PT,1607548928,90,39.05,-27.98,62.87,22.1
Ginir,5,ET,1607548928,37,7.13,40.7,56.1,5.44
Necochea,0,AR,1607548928,54,-38.55,-58.74,73.0,11.07
Alcúdia,1,ES,1607548928,50,39.85,3.12,57.0,13.87
Kedrovyy,0,RU,1607548928,83,56.17,91.82,-9.4,5.46
Alamosa,1,US,1607548929,22,37.47,-105.87,46.4,3.36
Lodja,83,CD,1607548929,97,-3.48,23.43,68.86,0.92
Erzurum Province,40,TR,1607548929,92,40.0,41.5,28.4,3.51
Acaraú,6,BR,1607548929,70,-2.89,-40.12,81.05,15.52
Tegul'det,100,RU,1607548929,92,57.31,88.17,-0.36,6.13
Coahuayana Viejo,40,MX,1607548929,54,18.73,-103.68,84.2,6.93
Mayumba,99,GA,1607548929,87,-3.43,10.66,77.2,4.56
Kaseda-shirakame,3,JP,1607548929,76,31.42,130.32,54.66,2.75
Tiksi,100,RU,1607548929,88,71.69,128.87,-16.42,11.74
Makaha,90,US,1607548650,100,21.47,-158.22,78.8,6.93
Tokur,100,RU,1607548930,92,53.13,132.9,-3.28,2.37
Kibala,0,TD,1607548930,73,9.11,18.35,71.6,3.85
Dul'durga,0,RU,1607548930,81,50.68,113.59,6.96,16.78
Huntington Beach,75,US,1607548930,30,33.66,-118.0,73.0,8.05
Semnan,72,IR,1607548930,72,35.57,53.4,38.66,2.8
Baiyin,0,CN,1607548930,72,36.56,104.21,28.0,4.47
Payakumbuh,100,ID,1607548931,88,-0.22,100.63,69.39,3.36
Beira,40,MZ,1607548931,83,-19.84,34.84,75.2,3.06
Lanxi,57,CN,1607548931,57,29.22,119.48,52.0,0.83
Luwuk,80,ID,1607548931,71,-0.95,122.79,79.05,1.34
Honningsvåg,75,NO,1607548931,86,70.98,25.97,37.4,11.41
Kapoeta,30,SS,1607548931,45,4.77,33.59,81.21,0.96
Czersk,0,PL,1607548931,93,53.8,17.98,27.0,20.0
Arlit,0,NE,1607548931,16,18.74,7.39,80.82,8.3
Utinga,20,BR,1607548931,74,-5.82,-35.4,82.4,10.29
Magomeni,36,TZ,1607548932,74,-6.8,39.25,80.91,7.7
Djibouti,1,DJ,1607548932,73,11.5,42.5,77.0,3.36
Chenghai,75,CN,1607548932,88,23.46,116.77,64.4,2.24
Pārsābād,90,IR,1607548932,100,39.65,47.92,39.2,4.7
Sibiti,90,CG,1607548932,99,-3.68,13.35,69.42,1.43
Rincon,20,US,1607548932,39,32.3,-81.24,62.6,12.75
Segovia,76,ES,1607548932,66,41.17,-4.0,42.01,1.01
Talara,0,PE,1607548932,58,-4.58,-81.27,82.4,11.41
Anjozorobe,75,MG,1607548932,88,-18.4,47.87,64.4,5.82
Fairbanks,75,US,1607548933,76,64.84,-147.72,10.99,1.12
Isla Vista,1,US,1607548810,11,34.41,-119.86,75.0,4.7
Petropavlovka,75,RU,1607548933,83,50.61,105.32,-1.7,4.25
Tuatapere,100,NZ,1607548933,70,-46.13,167.68,60.08,3.76
Kalmunai,40,LK,1607548933,88,7.42,81.82,77.34,8.1
Japura,100,ID,1607548933,97,-0.32,102.35,73.27,1.61
Kupang,100,ID,1607548933,79,-10.17,123.58,81.37,11.68
Barinas,99,VE,1607548933,73,8.62,-70.21,82.9,4.03
Fort Nelson,75,CA,1607548670,85,58.81,-122.7,19.4,2.24
Ishigaki,97,JP,1607548934,89,24.34,124.16,74.05,13.56
San Joaquin,1,US,1607548934,39,37.93,-121.3,64.0,8.05
Tutóia,20,BR,1607548934,78,-2.76,-42.27,82.4,14.14
Trairi,26,BR,1607548934,72,-3.28,-39.27,80.28,11.14
Nizwá,6,OM,1607548934,81,22.93,57.53,59.4,5.39
Tigil',100,RU,1607548934,96,57.8,158.67,13.5,7.29
Yinchuan,11,CN,1607548934,92,38.47,106.27,22.69,2.57
Diffa,72,NE,1607548934,18,13.32,12.61,77.5,6.78
Woodstock,100,CA,1607548689,93,43.13,-80.75,35.6,3.36
Berlevåg,75,NO,1607548935,86,70.86,29.09,33.8,21.92
Yar-Sale,0,RU,1607548935,94,66.83,70.83,16.65,19.04
Batticaloa,37,LK,1607548752,85,7.71,81.69,77.92,9.37
Kloulklubed,75,PW,1607548935,100,7.04,134.26,75.2,9.64
Tsabong,0,BW,1607548935,21,-26.02,22.4,80.02,9.6
Suleja,0,NG,1607548935,65,9.18,7.18,80.6,2.24
Omsukchan,100,RU,1607548935,90,62.53,155.8,0.41,1.16
Fort Morgan,1,US,1607548741,13,40.25,-103.8,60.8,5.82
Sos'va,0,RU,1607548936,95,59.18,61.86,15.93,4.36
Omsk,75,RU,1607548936,100,55.0,73.4,21.2,6.71
Cururupu,100,BR,1607548936,83,-1.83,-44.87,78.46,4.72
Hualmay,48,PE,1607548936,71,-11.1,-77.61,71.76,11.34
Wattegama,34,LK,1607548936,92,6.8,81.48,73.42,4.16
Bo Phloi,1,TH,1607548936,84,14.32,99.52,66.15,3.15
Cabedelo,20,BR,1607548936,74,-6.98,-34.83,80.6,10.29
Suntar,100,RU,1607548936,84,62.14,117.63,-29.0,4.5
Province of Trapani,20,IT,1607548644,62,37.83,12.67,57.0,17.22
Kirkuk,9,IQ,1607548937,66,35.47,44.39,53.71,4.83
Miguel Hidalgo,75,MX,1607548937,30,19.42,-99.2,69.8,4.7
Tocopilla,25,CL,1607548913,45,-22.09,-70.2,69.49,6.8
Mendeleyevo,0,RU,1607548937,78,56.03,37.22,14.0,11.18
Mastic Beach,90,US,1607548937,69,40.77,-72.85,36.0,13.87
Oktyabr'skoye,88,RU,1607548937,92,43.06,44.74,30.2,2.24
Brae,41,GB,1607548937,70,60.4,-1.35,46.4,24.16
Trat,35,TH,1607548937,71,12.5,102.5,69.33,6.06
Aksha,0,RU,1607548937,83,50.28,113.29,7.43,13.11
Menomonie,1,US,1607548938,49,44.88,-91.92,50.0,5.82
Tonantins,99,BR,1607548938,78,-2.87,-67.8,84.79,2.04
Aberdeen,75,GB,1607548938,93,57.14,-2.1,42.8,6.93
Kavaratti,10,IN,1607548938,78,10.57,72.64,82.74,13.27
Puerto Colombia,20,CO,1607548938,74,10.99,-74.95,86.0,13.87
Bilibino,48,RU,1607548938,86,68.05,166.44,-10.05,3.49
Ponta Delgada,20,PT,1607548938,87,37.73,-25.67,60.8,13.87
Coxim,40,BR,1607548938,38,-18.51,-54.76,92.53,2.59
Vanimo,100,PG,1607548939,78,-2.67,141.3,78.39,3.02
Port Lincoln,69,AU,1607548939,79,-34.73,135.87,59.88,21.7
Calabar,79,NG,1607548939,91,4.95,8.32,76.6,4.23
Kitimat,100,CA,1607548939,96,54.05,-128.65,39.99,4.0
Mildura,66,AU,1607548939,67,-34.2,142.15,61.0,10.29
Auki,1,SB,1607548939,76,-8.77,160.7,81.59,2.82
Havre-St-Pierre,90,CA,1607548939,79,50.23,-63.6,28.4,6.93
Pisz,90,PL,1607548939,79,53.63,21.81,26.6,12.75
Abhā,0,SA,1607548761,37,18.22,42.51,57.2,2.82
Seminole,1,US,1607548939,41,28.71,-81.21,61.0,11.41
Bagdarin,10,RU,1607548939,78,54.43,113.6,-2.13,7.4
Tazovsky,100,RU,1607548940,94,67.47,78.7,2.88,6.96
Northam,100,GB,1607548940,94,51.03,-4.22,48.0,15.01
Novo Aripuanã,100,BR,1607548940,93,-5.12,-60.38,75.76,7.58
Iznoski,0,RU,1607548940,91,54.99,35.31,18.7,7.87
Petropavlovsk-Kamchatskiy,0,RU,1607548940,71,53.05,158.65,3.2,8.95
Niamey,30,NE,1607548681,16,13.51,2.11,84.2,4.7
Angoche,81,MZ,1607548940,80,-16.23,39.91,78.55,5.53
Kununurra,75,AU,1607548940,100,-15.77,128.73,77.0,2.24
Meïganga,100,CM,1607548940,28,6.52,14.3,72.66,5.79
Khon Kaen,0,TH,1607548941,77,16.5,102.08,61.79,2.64
Ocampo,35,MX,1607548941,35,21.65,-101.5,65.88,4.43
Lyuban',98,BY,1607548941,96,52.8,28.0,22.14,11.59
Nanchong,100,CN,1607548941,75,30.8,106.08,50.52,1.45
Lugovoy,100,KZ,1607548941,89,42.95,72.76,17.6,1.9
Margate,100,GB,1607548941,89,51.38,1.39,44.01,1.99
Sept-Îles,77,CA,1607548823,73,50.2,-66.38,26.6,1.12
Meadow Lake,20,US,1607548941,16,34.8,-106.54,55.99,3.67
Shingū,14,JP,1607548941,82,33.73,135.98,46.99,5.55
Tambopata,40,PE,1607548942,62,-12.73,-69.18,89.6,8.05
Ballina,40,AU,1607548942,94,-28.87,153.57,72.0,3.62
Chaihe,31,CN,1607548942,95,44.77,129.7,10.76,4.59
